dataset,repeat,n_calibration_identifiers,n_evaluation_identifiers,calibration_prevalence,evaluation_prevalence,intercept_shift,brier_null_calibration_prevalence,brier_model_uncalibrated,brier_skill_uncalibrated,brier_model_intercept_recalibrated,brier_skill_intercept_recalibrated
mimic_temporal_test,67,1530,6123,0.008166491043203371,0.00816962791874444,-1.1883630034439063,0.0081028851082537,0.00958940085800895,-0.18345511875036546,0.008102539720537254,4.262527628517976e-05
mimic_temporal_test,68,1530,6123,0.008319798468626736,0.008131936183041899,-1.1557288298318213,0.008065843089195177,0.009461562415211289,-0.1730407237757683,0.008014874924566701,0.0063190126642498345
mimic_temporal_test,69,1530,6123,0.008359599835548856,0.008124035018228556,-1.14112282047608,0.00805809056403431,0.009534525149379306,-0.1832238758813125,0.008046805629586297,0.0014004477063561671
mimic_temporal_test,70,1530,6123,0.007961519323270858,0.008219959266802444,-1.1598504110998378,0.008152458327658966,0.009653054500878432,-0.18406670882675624,0.0081346225530897,0.002187778686185249
mimic_temporal_test,71,1530,6123,0.008613321059898744,0.00805865591090572,-1.1162313244138637,0.007994021629242856,0.00942601834547031,-0.1791334553047843,0.00797802000355587,0.002001699073273855
mimic_temporal_test,72,1530,6123,0.008137725327454286,0.008176909652522307,-1.160522421670813,0.008110049336468124,0.009538569665500249,-0.17614200231909272,0.008061307975888797,0.006009995569343007
mimic_temporal_test,73,1530,6123,0.008453750122874274,0.008097993070536706,-1.1668501384416354,0.008032542141846538,0.009483967676666795,-0.1806931739901958,0.008026789447331059,0.0007161735866295649
mimic_temporal_test,74,1530,6123,0.008118543942444144,0.008181477070655986,-1.2182613966063867,0.008114544464176941,0.009540225236623285,-0.1756944926163455,0.008065175717434191,0.006083982528002241
mimic_temporal_test,75,1530,6123,0.00765077998211506,0.00829652328405405,-1.24585117573612,0.008228107969863193,0.00972004751981085,-0.1813223107198072,0.008195478029803175,0.003965667463228684
mimic_temporal_test,76,1530,6123,0.008314011262007287,0.008133327900248564,-1.1811668182489052,0.008067209523992818,0.009577357110051966,-0.18719578084191224,0.008086523393992788,-0.002394120289367363
mimic_temporal_test,77,1530,6123,0.007781974472518885,0.008266289090953734,-1.163892309365834,0.008198192116268137,0.009697372381269295,-0.1828671789755023,0.008177768548345664,0.0024912282650640938
mimic_temporal_test,78,1530,6123,0.008480861629744284,0.008089659020051853,-1.1878564629286807,0.008024369476472979,0.009461037095035424,-0.179038069318054,0.008002687042860836,0.002702073187895282
mimic_temporal_test,79,1530,6123,0.007793979151105771,0.008263582906094904,-1.2238069389383477,0.008195516631335702,0.009761521918904519,-0.19108072840474355,0.008202739471218388,-0.0008813159935603387
mimic_temporal_test,80,1530,6123,0.007596009649866336,0.008312810400831282,-1.3147510427825824,0.0082442213873877,0.009772892876070093,-0.18542339134912234,0.008240036934373023,0.000507561941638146
mimic_temporal_test,81,1530,6123,0.00797750604851893,0.008216893278499539,-1.2066594509281434,0.008149433249595162,0.009655131506489228,-0.18476110065308715,0.008129330990020408,0.002466706451734191
mimic_temporal_test,82,1530,6123,0.008583416071485763,0.008062660266947201,-1.0729247101953787,0.007997924962974957,0.009469610349684085,-0.18400840136936103,0.008000907312506265,-0.0003728904115898324
mimic_temporal_test,83,1530,6123,0.008661341545568281,0.008042917467672236,-1.0856383933422495,0.007978611394620567,0.009425124663129053,-0.18129887482473106,0.007976528152504282,0.00026110334408435687
mimic_temporal_test,84,1530,6123,0.007949587978671837,0.008224682246822467,-1.180311244050046,0.008157112525617637,0.009612475741968891,-0.17841646928133525,0.0081196326263857,0.0045947507913162156
mimic_temporal_test,85,1530,6123,0.00856878184344604,0.008070498658992899,-1.1662351995223035,0.008005613996520005,0.009438947447938236,-0.17904103945572358,0.007992834531093443,0.0015963129663906228
mimic_temporal_test,86,1530,6123,0.007335042679562494,0.008379476426067298,-1.2957562400973563,0.008310351642743118,0.009823381693834133,-0.18206570746163853,0.00828210773773097,0.0033986413844245833
mimic_temporal_test,87,1530,6123,0.008025315629791538,0.008205035912370543,-1.1785803593205493,0.008137745597427224,0.009586288678021027,-0.17800299398051522,0.00810655313390696,0.0038330595552319435
mimic_temporal_test,88,1530,6123,0.007893780757670839,0.008236963577941249,-1.1919201354368205,0.008169233783405049,0.00967361471400582,-0.1841520233705105,0.008171501842090876,-0.0002776341999704002
mimic_temporal_test,89,1530,6123,0.007297392869772077,0.008391631359411436,-1.3080430864541377,0.008322409240411386,0.009762932961399686,-0.17308974833795765,0.008265787521661632,0.006803524930595106
mimic_temporal_test,90,1530,6123,0.007494646680942184,0.008339272402578785,-1.270549523951691,0.008270442330984023,0.009749439444385213,-0.17882926380616193,0.008236413950107402,0.004114457185577347
mimic_temporal_test,91,1530,6123,0.007768454175953848,0.008268852083963166,-1.1639653197928264,0.008200728567243047,0.00975913410654299,-0.19003257168208587,0.00821943831849673,-0.0022814742739343252
mimic_temporal_test,92,1530,6123,0.008843760235833607,0.008000653781718629,-1.0698405537754256,0.007937354149276673,0.009449249409159477,-0.1904784933932402,0.007979907704775207,-0.005361176369131915
mimic_temporal_test,93,1530,6123,0.007988522612409924,0.008214291558260926,-1.2657783649346268,0.008146867944073717,0.009542281244509919,-0.17128217985308924,0.008090500269361048,0.006918938063022462
mimic_temporal_test,94,1530,6123,0.007725293790304102,0.008279796642309515,-1.3293367013442179,0.008211549083284395,0.009552320824721213,-0.16327878306982546,0.008124283900912415,0.01062712790082676
mimic_temporal_test,95,1530,6123,0.007561938244171006,0.008318125529557453,-1.2735808841923886,0.008249506136442559,0.009656939751967537,-0.17060822699525935,0.00817242429644541,0.009343812674632357
mimic_temporal_test,96,1530,6123,0.008123005512039455,0.008180714191939083,-1.154345271149328,0.00811379343754063,0.009544270724138743,-0.1763019107658852,0.008062405840372319,0.006333362756137273
mimic_temporal_test,97,1530,6123,0.008040838115574536,0.008200255444465234,-1.2474799886172314,0.008133036668995505,0.009546874775831184,-0.1738388949143026,0.00808417609339047,0.00600766695068522
mimic_temporal_test,98,1530,6123,0.007807072678553707,0.008258197055418779,-1.2373566510910958,0.008190202750016057,0.00962799981410086,-0.1755508511778887,0.008146626458307328,0.005320538824102106
mimic_temporal_test,99,1530,6123,0.00850507033038927,0.008085019415491519,-1.0633095541234352,0.00801982831931375,0.009575618850712866,-0.19399299703865025,0.008060383798051735,-0.00505690111100221
mimic_temporal_test,100,1530,6123,0.0075619888355186295,0.008322207023090849,-1.2405790329068727,0.008253525825048381,0.009717536702781578,-0.17738005656808076,0.008199287066827486,0.006571586419017228
