dataset,repeat,calibration_method,fitted_intercept,fitted_slope,calibration_prevalence,brier,brier_skill
mimic_temporal_test,61,intercept_and_slope,-1.8093947683543383,0.8189240975781885,0.007677480479597504,0.008081148228123785,0.01732906515429844
mimic_temporal_test,62,uncalibrated,0.0,1.0,0.008440993588710977,0.009429794672174634,-0.17370159595594092
mimic_temporal_test,62,intercept_only,-1.1207196558112282,1.0,0.008440993588710977,0.00798739412743993,0.005830183920282339
mimic_temporal_test,62,intercept_and_slope,-2.560100107581919,0.5394815524663631,0.008440993588710977,0.007886499235507992,0.018388304197678562
mimic_temporal_test,63,uncalibrated,0.0,1.0,0.008263378803777545,0.00954609949356454,-0.18157134179358492
mimic_temporal_test,63,intercept_only,-1.1840030529844197,1.0,0.008263378803777545,0.008060924356455699,0.0022566584001258994
mimic_temporal_test,63,intercept_and_slope,-2.0314234473565875,0.7077662991633777,0.008263378803777545,0.0079235071970305,0.019265508722391633
mimic_temporal_test,64,uncalibrated,0.0,1.0,0.007659987071751777,0.0096649194556894,-0.17439642130259658
mimic_temporal_test,64,intercept_only,-1.2667982394877,1.0,0.007659987071751777,0.008169799731743532,0.007277441710026644
mimic_temporal_test,64,intercept_and_slope,-1.8504034967053096,0.7901022953084664,0.007659987071751777,0.008073563320403765,0.018971248119338924
mimic_temporal_test,65,uncalibrated,0.0,1.0,0.007567319661927537,0.00961412663572791,-0.165283968447004
mimic_temporal_test,65,intercept_only,-1.2734191275134146,1.0,0.007567319661927537,0.008147426605460022,0.01248798074289803
mimic_temporal_test,65,intercept_and_slope,-2.0602159652948475,0.7261018432483679,0.007567319661927537,0.008069857817699692,0.021889735915653352
mimic_temporal_test,66,uncalibrated,0.0,1.0,0.007248477819657872,0.00973806754767366,-0.16844454819784493
mimic_temporal_test,66,intercept_only,-1.3285681890276437,1.0,0.007248477819657872,0.008234123338729513,0.012009674688943983
mimic_temporal_test,66,intercept_and_slope,-2.088325725677855,0.7348758995448422,0.007248477819657872,0.008160205400425103,0.020878889407673795
mimic_temporal_test,67,uncalibrated,0.0,1.0,0.008166491043203371,0.00958940085800895,-0.18345511875036546
mimic_temporal_test,67,intercept_only,-1.1883630034439063,1.0,0.008166491043203371,0.008102539720537254,4.262527628517976e-05
mimic_temporal_test,67,intercept_and_slope,-2.0849164717448865,0.6941147164941388,0.008166491043203371,0.007953228343516756,0.0184695651903668
mimic_temporal_test,68,uncalibrated,0.0,1.0,0.008319798468626736,0.009461562415211289,-0.1730407237757683
mimic_temporal_test,68,intercept_only,-1.1557288298318213,1.0,0.008319798468626736,0.008014874924566701,0.0063190126642498345
mimic_temporal_test,68,intercept_and_slope,-2.380416036993334,0.5973508633431137,0.008319798468626736,0.007909870447516856,0.019337425728905844
mimic_temporal_test,69,uncalibrated,0.0,1.0,0.008359599835548856,0.009534525149379306,-0.1832238758813125
